"","gene_id","gene_name","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000133800.9","ENSG00000133800.9","LYVE1","protein_coding",-2.4828024571402,1.45852574873837,-16.6376044403253,3.34024129412686e-56,5.70346200972161e-52,116.909276262032
"ENSG00000116678.20","ENSG00000116678.20","LEPR","protein_coding",-1.69059971369436,3.40539985813428,-14.6688923093503,5.22719118004866e-45,4.46271446996655e-41,91.4223560624304
"ENSG00000123612.16","ENSG00000123612.16","ACVR1C","protein_coding",-2.46619146036959,0.608456960902678,-14.3316325102044,3.46589143676819e-43,1.97266987609389e-39,87.1897332914561
"ENSG00000186642.16","ENSG00000186642.16","PDE2A","protein_coding",-1.58896986320954,2.93050668640477,-14.266246011815,7.75403452611274e-43,3.31000348833437e-39,86.4742610266626
"ENSG00000101605.13","ENSG00000101605.13","MYOM1","protein_coding",-1.64769070806687,1.45753496479982,-14.2212403798363,1.34765792404152e-42,4.6022518106018e-39,85.8721612661196
"ENSG00000131386.19","ENSG00000131386.19","GALNT15","protein_coding",-1.85594962873626,3.16532406791854,-14.119145491095,4.70049099188588e-42,1.33768139477419e-38,84.68262469716
"ENSG00000116194.13","ENSG00000116194.13","ANGPTL1","protein_coding",-1.97891425688602,1.28444310159683,-14.0677410193465,8.79571237406417e-42,2.14552555410208e-38,84.0276727186095
"ENSG00000164330.17","ENSG00000164330.17","EBF1","protein_coding",-1.50377777568304,3.53321571702519,-14.0351777463451,1.30704467044736e-41,2.78972346848609e-38,83.666572432642
"ENSG00000119927.14","ENSG00000119927.14","GPAM","protein_coding",-1.75023818409234,4.91773102643681,-13.9254872606615,4.93909122580015e-41,9.03727086949096e-38,82.3189836507773
"ENSG00000168497.5","ENSG00000168497.5","CAVIN2","protein_coding",-2.14499120073131,2.61517866024979,-13.9197651131124,5.29269157803277e-41,9.03727086949096e-38,82.2905238860862
"ENSG00000137727.12","ENSG00000137727.12","ARHGAP20","protein_coding",-1.70106486143007,1.28300916920096,-13.8894752250562,7.62937336710172e-41,1.18428682039329e-37,81.8751765307529
"ENSG00000141338.14","ENSG00000141338.14","ABCA8","protein_coding",-2.38802830087857,2.22323153157175,-13.8356127485427,1.4597548981349e-40,2.07710957380445e-37,81.2882028400918
"ENSG00000138722.10","ENSG00000138722.10","MMRN1","protein_coding",-2.33578746224468,1.74740187668595,-13.7958166276142,2.35490826467966e-40,3.09308143226194e-37,80.8129636827165
"ENSG00000154258.17","ENSG00000154258.17","ABCA9","protein_coding",-2.02771863735989,1.75828802248737,-13.6577785622258,1.2275413901497e-39,1.49716208834329e-36,79.1768795313232
"ENSG00000138640.15","ENSG00000138640.15","FAM13A","protein_coding",-1.23782919359178,4.18625609137438,-13.6223986275278,1.87060280306538e-39,2.12936952415609e-36,78.7338439262387
"ENSG00000134962.7","ENSG00000134962.7","KLB","protein_coding",-2.05974374750809,0.62836860873403,-13.5987119239816,2.47896260831227e-39,2.64551790855826e-36,78.4078324916059
"ENSG00000118596.12","ENSG00000118596.12","SLC16A7","protein_coding",-1.58915252354096,2.64800501520744,-13.5892499128529,2.7738096196499e-39,2.7860470150307e-36,78.3747952800545
"ENSG00000165197.5","ENSG00000165197.5","VEGFD","protein_coding",-2.76685752018113,-0.598272808599034,-13.5777822414033,3.17830608940997e-39,3.0149764709264e-36,78.0745839260157
"ENSG00000173641.18","ENSG00000173641.18","HSPB7","protein_coding",-2.12054236018407,1.51198613023272,-13.5117360882164,6.94982633016795e-39,6.24569918882199e-36,77.4588458096177
"ENSG00000154736.6","ENSG00000154736.6","ADAMTS5","protein_coding",-1.669342827394,3.75355078231337,-13.5010371904742,7.88680749496762e-39,6.73336189882861e-36,77.3116060899111
"ENSG00000152580.8","ENSG00000152580.8","IGSF10","protein_coding",-2.12451242444051,1.59623345318516,-13.3007530217939,8.30334059092951e-38,6.75140669476769e-35,75.0093513185445
"ENSG00000159433.12","ENSG00000159433.12","STARD9","protein_coding",-1.18875597732963,3.1205640552187,-13.2394121359403,1.6987030569429e-37,1.31842521351364e-34,74.2999702524673
"ENSG00000077616.11","ENSG00000077616.11","NAALAD2","protein_coding",-1.37358483637006,0.247927759988852,-13.2062684412338,2.49828490000127e-37,1.85470498554442e-34,73.753036673683
"ENSG00000138685.17","ENSG00000138685.17","FGF2","protein_coding",-1.86844729026162,2.47792655276191,-13.1765752202718,3.52746046878585e-37,2.40925550018074e-34,73.5797605051946
"ENSG00000168477.19","ENSG00000168477.19","TNXB","protein_coding",-2.08453632270926,3.62272893580499,-13.179626761962,3.40468394172642e-37,2.40925550018074e-34,73.5771591812764
