"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000070","mitotic sister chromatid segregation",197,0.63277270899602,2.86990489746627,1e-10,1.02311475409836e-08,7.57204486626402e-09,1748,"tags=31%, list=10%, signal=29%","4751/11065/24137/332/146909/83540/9928/9787/991/9212/699/5347/151648/1063/11004/3833/10403/147841/9232/64151/701/113130/57405/157570/55143/9700/23397/7272/990/9493/10615/11130/81620/3832/1062/891/81930/10460/9319/4085/64105/83903/84722/29127/3835/151246/10051/9055/79075/8193/90417/9555/7283/51529/55055/23212/54892/348654/79980/9735/6597/9184"
"GO:0065004","protein-DNA complex assembly",195,0.630731009834836,2.85609143276503,1e-10,1.02311475409836e-08,7.57204486626402e-09,2005,"tags=36%, list=12%, signal=32%","55355/8357/8348/9787/8343/1063/8356/55723/1058/8360/8318/8358/8367/8344/3017/8345/81620/8339/5888/1062/8365/3007/8347/3009/128312/8352/8370/11339/3008/8340/2491/8970/8362/8355/8363/3006/64105/3010/440689/85236/3014/3070/8294/8968/8349/4171/8364/201254/8208/8366/653604/64754/8341/79172/8353/9555/387103/55839/401541/10036/54069/9735/378708/6597/64946/3148/3020/23234/81857/51548"
"GO:0006334","nucleosome assembly",86,0.712126402632808,2.7980948218594,1e-10,1.02311475409836e-08,7.57204486626402e-09,1039,"tags=47%, list=6%, signal=44%","8357/8348/8343/8356/55723/8360/8358/8367/8344/3017/8345/8339/8365/3007/8347/3009/128312/8352/8370/3008/8340/8970/8362/8355/8363/3006/3010/440689/85236/3014/8294/8968/8349/4171/8364/8208/8366/653604/64754/8341"
"GO:0000819","sister chromatid segregation",223,0.614836477138452,2.78718434428474,1e-10,1.02311475409836e-08,7.57204486626402e-09,1748,"tags=30%, list=10%, signal=27%","4751/11065/24137/332/146909/83540/7153/9928/9787/991/9212/699/5347/151648/1063/11004/3833/10403/147841/9232/64151/701/113130/57405/157570/55143/9700/23397/7272/990/9493/10615/116028/11130/81620/3832/1062/891/81930/10460/9319/225689/4085/64105/83903/84722/29127/2237/3835/151246/10051/9055/79075/8193/90417/9555/7283/51529/55055/23212/54892/348654/79980/9735/6597/9184"
"GO:0071459","protein localization to chromosome, centromeric region",38,0.829124944652487,2.754097676878,1e-10,1.02311475409836e-08,7.57204486626402e-09,2318,"tags=71%, list=14%, signal=61%","9212/1058/10403/983/8360/701/57082/7272/8367/81620/8365/3012/8370/8970/8362/8363/83903/8294/8364/8366/55055/55920/9735/9184/27085/121504/54908"
"GO:0071824","protein-DNA complex subunit organization",229,0.597922508511324,2.7472303234919,1e-10,1.02311475409836e-08,7.57204486626402e-09,2045,"tags=33%, list=12%, signal=29%","55355/8357/8348/9787/8343/1063/8356/55723/1058/8360/8318/8358/8367/8344/3017/8345/81620/8339/5888/1062/8365/3007/8347/3009/128312/8352/8370/11339/3008/8340/2491/8970/8362/8355/8363/3006/64105/3010/440689/85236/3014/3070/8294/8968/8349/4171/8364/92815/3159/201254/8208/8366/653604/64754/8341/79172/8353/9555/387103/55839/401541/10036/8607/54069/9735/378708/10856/6597/64946/3148/3020/23234/81857/51548/6944"
"GO:0008608","attachment of spindle microtubules to kinetochore",43,0.783067197911129,2.72872030346246,1e-10,1.02311475409836e-08,7.57204486626402e-09,595,"tags=40%, list=4%, signal=38%","4751/332/83540/9212/151648/11004/10403/147841/57082/57405/55143/10615/81620/1062/891/29127/1894"
"GO:1905818","regulation of chromosome separation",105,0.669160736472813,2.68988416702675,1e-10,1.02311475409836e-08,7.57204486626402e-09,2408,"tags=42%, list=14%, signal=36%","11065/332/83540/9787/991/9212/699/5347/1063/10403/147841/9232/64151/701/57405/55143/9700/23397/7272/990/11130/81620/1062/891/10460/9319/225689/4085/83903/10051/8193/51529/55055/54892/348654/9735/6597/9184/3619/5885/10459/54908/86/26271"
"GO:0033045","regulation of sister chromatid segregation",101,0.667399907715447,2.67410584093989,1e-10,1.02311475409836e-08,7.57204486626402e-09,491,"tags=28%, list=3%, signal=27%","11065/332/83540/9787/991/9212/699/5347/1063/10403/147841/9232/701/57405/55143/9700/7272/990/116028/11130/81620/1062/891/10460/9319/225689/4085/83903"
"GO:0034728","nucleosome organization",120,0.659267426995365,2.66511973430107,1e-10,1.02311475409836e-08,7.57204486626402e-09,2143,"tags=44%, list=13%, signal=39%","8357/8348/8343/8356/55723/8360/8358/8367/8344/3017/8345/8339/8365/3007/8347/3009/128312/8352/8370/3008/8340/8970/8362/8355/8363/3006/3010/440689/85236/3014/8294/8968/8349/4171/8364/92815/3159/8208/8366/653604/64754/8341/8353/9555/10036/8607/10856/6597/3148/3020/23234/6944/121504"
